player_name,team_name,position,price,total_points,points_per_game,form,minutes,selected_by_percent,expected_goals,expected_assists,expected_goal_involvements,xgi_per_90,value_season
Enzo Fernández,Chelsea,MID,7.0,0,0.0,0.0,0,5.3,0.0,0.0,0.0,0.0,0.0
Pedro Lomba Neto,Chelsea,MID,6.5,0,0.0,0.0,0,1.4,0.0,0.0,0.0,0.0,0.0
Estêvão Almeida de Oliveira Gonçalves,Chelsea,MID,6.5,0,0.0,0.0,0,1.3,0.0,0.0,0.0,0.0,0.0
Jamie Bynoe-Gittens,Chelsea,MID,6.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Moisés Caicedo Corozo,Chelsea,MID,5.5,0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0
Roméo Lavia,Chelsea,MID,5.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Dário Luís Essugo,Chelsea,MID,4.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Geovany Quenda,Chelsea,MID,5.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
João Pedro Junqueira de Jesus,Chelsea,FWD,7.5,0,0.0,0.0,0,64.0,0.0,0.0,0.0,0.0,0.0
Nicolas Jackson,Chelsea,FWD,6.5,0,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0.0
Liam Delap,Chelsea,FWD,5.5,0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0
Marc Guiu Paz,Chelsea,FWD,5.0,0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0
Shumaira Mheuka,Chelsea,FWD,4.5,0,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0.0
Emmanuel Emegha,Chelsea,FWD,5.0,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Maxence Lacroix,Chelsea,DEF,6.0,0,0.0,0.0,0,9.1,0.0,0.0,0.0,0.0,0.0
Mike Penders,Chelsea,GK,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Aaron Anselmino,Chelsea,DEF,4.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Valentín Barco,Chelsea,MID,5.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Mykhailo Mudryk,Chelsea,MID,5.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Pep Chavarría,Chelsea,DEF,5.0,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Frank Onyeka,Coventry City,MID,5.0,2,2.0,2.0,90,0.2,0.0,0.01,0.01,0.01,0.4
Carl Rushworth,Coventry City,GK,4.5,1,1.0,1.0,90,1.2,0.0,0.01,0.01,0.01,0.2222222222222222
Oliver Dovin,Coventry City,GK,4.0,0,0.0,0.0,0,1.6,0.0,0.0,0.0,0.0,0.0
Ben Wilson,Coventry City,GK,4.5,0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0
Bobby Thomas,Coventry City,DEF,4.0,3,3.0,3.0,90,8.1,0.02,0.01,0.03,0.03,0.75
Liam Kitching,Coventry City,DEF,4.0,0,0.0,0.0,0,0.7,0.0,0.0,0.0,0.0,0.0
Milan van Ewijk,Coventry City,DEF,4.0,1,1.0,1.0,90,13.7,0.0,0.01,0.01,0.01,0.25
Jay Dasilva,Coventry City,DEF,4.0,1,1.0,1.0,90,0.9,0.0,0.02,0.02,0.02,0.25
Kaine Kesler-Hayden,Coventry City,DEF,4.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Jake Bidwell,Coventry City,DEF,4.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Joel Latibeaudiere,Coventry City,DEF,4.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Woolfenden,Coventry City,DEF,4.0,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Miguel Brau,Coventry City,DEF,4.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Aurèle Amenda,Coventry City,DEF,4.0,1,1.0,1.0,90,0.9,0.0,0.01,0.01,0.01,0.25
Jack Rudoni,Coventry City,MID,5.0,1,1.0,1.0,20,0.1,0.15,0.0,0.15,0.6749999999999999,0.2
Matt Grimes,Coventry City,MID,5.0,2,2.0,2.0,90,0.2,0.0,0.01,0.01,0.01,0.4
Tatsuhiro Sakamoto,Coventry City,MID,5.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Ephron Mason-Clark,Coventry City,MID,5.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Josh Eccles,Coventry City,MID,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Torp,Coventry City,MID,5.5,1,1.0,1.0,28,0.2,0.0,0.11,0.11,0.3535714285714286,0.18181818181818182
George Shepherd,Coventry City,MID,4.5,0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0
Loum Tchaouna,Coventry City,MID,5.5,2,2.0,2.0,81,0.2,0.04,0.02,0.06,0.06666666666666667,0.36363636363636365
Raphael Borges Rodrigues,Coventry City,MID,4.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Kaine Andrews,Coventry City,MID,4.5,0,0.0,0.0,0,0.7,0.0,0.0,0.0,0.0,0.0
Haji Wright,Coventry City,FWD,5.5,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0
Brandon Thomas-Asante,Coventry City,FWD,5.0,2,2.0,2.0,69,0.8,0.0,0.02,0.02,0.02608695652173913,0.4
Ellis Simms,Coventry City,FWD,5.0,2,2.0,2.0,69,0.9,0.0,0.01,0.01,0.013043478260869565,0.4
Jahnoah Markelo,Coventry City,FWD,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Norman Bassette,Coventry City,FWD,4.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Taiwo Awoniyi,Coventry City,FWD,5.5,1,1.0,1.0,20,0.8,0.0,0.0,0.0,0.0,0.18181818181818182
Caleb Yirenkyi,Coventry City,MID,5.0,1,1.0,1.0,61,0.3,0.0,0.0,0.0,0.0,0.2
Gustavo Hamer,Coventry City,MID,5.5,1,1.0,1.0,8,0.2,0.0,0.0,0.0,0.0,0.18181818181818182
Sidiki Cherif,Coventry City,FWD,5.0,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Evann Guessand,Crystal Palace,MID,5.5,1,1.0,1.0,27,0.0,0.03,0.02,0.05,0.16666666666666669,0.18181818181818182
Dean Henderson,Crystal Palace,GK,5.0,2,2.0,2.0,90,1.9,0.0,0.0,0.0,0.0,0.4
Walter Benítez,Crystal Palace,GK,4.5,0,0.0,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0
Daniel Muñoz Mejía,Crystal Palace,DEF,5.5,0,0.0,0.0,54,9.5,0.23,0.01,0.24,0.4,0.0
